Feature,Importance
pm25,0.3349724440190933
temperature,0.07710973689698664
dust,0.0617425058543875
co,0.04887164586824655
uv_index,0.04738042437228382
so2,0.04580345839090778
aqi_lag_1,0.044836759889173836
aqi_lag_7,0.043436164811625946
wind_speed,0.03363822598909327
month,0.032027640788809895
day,0.030526042370402764
aqi,0.028326203941997967
pm10,0.025700820737505337
o3,0.025061597564209195
humidity,0.02467563144608255
aqi_change_rate,0.024002643184749164
aerosol_optical_depth,0.02099102919440119
no2,0.019102068967427107
european_aqi,0.01748475932396791
weekday,0.010597886118815085
rain,0.0037123102698332195
hour,0.0
