Feature,Mean_Absolute_SHAP
pm25,10.424719232138923
temperature,3.7463892217236827
month,2.578661601250551
dust,2.1771281315088937
so2,1.283512343899822
aqi_lag_1,1.1734395998125466
wind_speed,1.1009718031906943
co,1.0640930663680734
pm10,0.8200990687327251
aqi_lag_7,0.6400804105835889
uv_index,0.6022937757439251
european_aqi,0.58718833897755
humidity,0.5680243073101069
day,0.5394446133735997
aqi_change_rate,0.511080361381969
o3,0.4806640555915549
aqi,0.4746725129084512
no2,0.352633019112333
aerosol_optical_depth,0.3521307706883491
weekday,0.2235736881099657
rain,0.13254883860653038
hour,0.0
